variable,label,unique_values,variable_type
challengeID,NA,4242,NA
m1intmon,Mother interview month,1,categorical
m1intyr,Mother interview year,0,unknown
m1lenhr,What was the total length of interview - Hours,9,continuous
m1lenmin,What was the total length of interview - Minutes,60,continuous
cm1twoc,Constructed - Two cities flag,0,unknown
cm1fint,Constructed - Was father interviewed?,3,categorical
cm1tdiff,Constructed - time difference between mother and father interview dates,0,unknown
cm1natsm,Constructed - Baseline national sample flag,0,unknown
m1natwt,Mother baseline national weight,0,unknown
cm1natsmx,Constructed - Baseline national sample flag (excluding one city),0,unknown
m1natwtx,Mother baseline national weight (excluding one city),0,unknown
cm1citsm,Constructed - Baseline city sample flag,2,categorical
m1citywt,Mother baseline city weight (20-cities population),1867,continuous
innatsm,In national sample,2,categorical
incitysm,In city sample,2,categorical
m1a3,Have you picked up a (name/names) for the (baby/babies) yet?,4,categorical
m1a4,Is respondent married to baby's father?,4,categorical
m1a5,Will the baby (babies) have the father's last name?,7,categorical
m1a6,Will the father's name be on the birth certificate?,6,categorical
m1a7,Has BF visited you in the hospital?,6,categorical
m1a8,When are you going home?,8,categorical
m1a9,Do you feel ready to go home or would you rather stay longer?,6,categorical
m1a10,Int chk: Is respondent married to (BF)?,3,categorical
m1a11a,Will the baby live with mother?,6,categorical
m1a11b,Will the baby live with father?,6,categorical
m1a11c,Will baby live with other relatives?,6,categorical
m1a11d,Will baby live with non-relatives?,6,categorical
m1a12,Do you have other biological children?,4,categorical
m1a12a,How many other biological children do you have?,17,continuous
m1a13,Did you visit a doctor/other health care professional to check on the pregnancy?,4,categorical
m1a13a,In which month of pregnancy did you 1st see doctor/other health care provider?,1,continuous
m1a15,How are you paying for the baby's birth?,11,categorical
m1a16,Who does the baby looks like?,12,categorical
cm1age,Constructed - Mother's age (years),31,continuous
cm1bsex,Constructed - Focal baby's gender,3,categorical
cm1lbw,Constructed - Low Birth Weight?,5,categorical
cm1numb,Constructed - Number of babies born at current birth,3,categorical
m1b0,Int chk: Is father unknown?,3,categorical
m1b1a,How many years did you know Baby's Father before you got pregnant?,40,continuous
m1b1b,How many months did you know Baby's Father before you got pregnant?,18,continuous
m1b2,Int chk: Is respondent married (OFFICIAL MARRIAGE VARIABLE)?,4,categorical
m1b3,Which statement best describes your current relationship with Baby's Father?,9,categorical
m1b4a,"Why did rom rel end with (BF), Financial Reasons(Don't have work,money)?",7,categorical
m1b4b,"Why did rom rel end with (BF), Distance (Don't live in same town)?",7,categorical
m1b4c,"Why did rom rel end with (BF), Incarceration ?",7,categorical
m1b4d,"Why did rom rel end with (BF), Relationship Reasons ?",7,categorical
m1b4e,"Why did rom rel end with (BF), Drug problem ?",7,categorical
m1b4f,"Why did rom rel end with (BF), Violence, Abuse ?",7,categorical
m1b4g,"Why did rom rel end with (BF), Other?",9,categorical
m1b5a,"In last mo did you and BF, visit with friends?",6,categorical
m1b5b,"In last mo did you and BF, go out for entertainment(movie,sports)",6,categorical
m1b5c,"In last mo did you and BF, eat out in a restaurant?",6,categorical
m1b5d,"In last mo did you and BF, help each other solve a problem?",7,categorical
m1b6a,When you and BF tgthr how often did you disagree about money?,7,categorical
m1b6b,When you and BF tgthr how often did you disagree about spending time?,7,categorical
m1b6c,When you and BF tgthr how often did you disagree about sex?,8,categorical
m1b6d,When you and BF tgthr how often did you disagree about the pregnancy?,8,categorical
m1b6e,When you and BF tgthr how often did you disagree about alcoh/drug use?,7,categorical
m1b6f,When you and BF tgthr how often did you disagree about being faithful?,7,categorical
m1b7a,How often BF was fair and willing to compromise?,1,categorical
m1b7b,How often did BF hit you when he was angry?,1,categorical
m1b7c,How often did BF expressed affection or love to you?,1,categorical
m1b7d,How often did BF criticized you or your ideas?,1,categorical
m1b7e,How often did BF encourage you do things that were important to you?,1,categorical
m1b8,Are you and BF living together now?,5,categorical
m1b9,Do you and BF have plans to live together or marry in the future?,6,categorical
m1b9a1,"Reasons no plan to live tgthr, No need to marry?",6,categorical
m1b9a2,"Reasons no plan to live tgthr, Timing problem ?",6,categorical
m1b9a3,"Reason no plan to live tgthr, Financial Reasons ?",6,categorical
m1b9a4,"Reasons no plan to live tgthr, Distance ?",6,categorical
m1b9a5,"Reasons no plan to live tgthr, Incarceration ?",6,categorical
m1b9a6,"Reasons no plan to live tgthr, Housing reasons ?",6,categorical
m1b9a7,"Reason  no plan to live tgthr, Relationship reasons ?",6,categorical
m1b9a8,"Reasons no plan to live tgthr, Drug problem ?",6,categorical
m1b9a9,"Reasons no plan to live tgthr, Violence, abuse ?",6,categorical
m1b9a10,"Reasons no plan to live tgthr, Haven't talked about it ?",6,categorical
m1b9a11,"Reasons no plan to live tgthr, Other specify ?",7,categorical
m1b9b1,"Reasons aren't living tgthr, No need to marry ?",6,categorical
m1b9b2,"Reasons aren't living tgthr, Timing problem ?",6,categorical
m1b9b3,"Reasons aren't living tgthr, Financial Reasons ?",6,categorical
m1b9b4,"Reasons aren't living tgthr, Distance ?",6,categorical
m1b9b5,"Reasons aren't living tgthr, Incarceration ?",6,categorical
m1b9b6,"Reasons aren't living tgthr, Housing reasons ?",6,categorical
m1b9b7,"Reasons aren't living tgthr, Relationship reasons ?",6,categorical
m1b9b8,"Reasons aren't living tgthr, Drug problem ?",6,categorical
m1b9b9,"Reasons aren't living tgthr, Violence, abuse ?",6,categorical
m1b9b10,"Reasons aren't living tgthr, Haven't talked about it ?",6,categorical
m1b9b11,"Reasons aren't living tgthr, Other specify?",7,unknown
m1b10,Do you and BF have plans to marry in the future?,7,categorical
m1b10a1,"Reasons no plan to marry, No need to marry ?",5,categorical
m1b10a2,"Reason no plan to marry, Timing problem ?",5,categorical
m1b10a3,"Reason no plan to marry, Financial reasons ?",5,categorical
m1b10a4,"Reason no plan to marry, Distance ?",5,categorical
m1b10a5,"Reason no plan to marry, Incarceration?",5,categorical
m1b10a6,"Reason no plan to marry, Housing reasons ?",5,categorical
m1b10a7,"Reason no plan to marry, Relationship reasons ?",5,categorical
m1b10a8,"Reason no plan to marry, Drug problem?",5,categorical
m1b10a9,"Reason no plan to marry, Violence, abuse?",4,categorical
m1b10a10,"Reason no plan to marry, Haven't talked about it ?",5,categorical
m1b10a11,"Reason no plan to marry, Other specify?",6,unknown
m1b10b1,"Reasons aren't married now, No need to marry ?",5,categorical
m1b10b2,"Reasons aren't married now, Timing problem ?",5,categorical
m1b10b3,"Reasons aren't married now, Financial Reasons ?",5,categorical
m1b10b4,"Reasons aren't married now, Distance ?",5,categorical
m1b10b5,"Reasons aren't married now, Incarceration?",5,categorical
m1b10b6,"Reasons aren't married now, Housing reasons ?",5,categorical
m1b10b7,"Reasons aren't married now, Relationship reasons ?",5,categorical
m1b10b8,"Reasons aren't married now, Drug problem?",5,categorical
m1b10b9,"Reasons aren't married now, Violence, abuse?",4,categorical
m1b10b10,"Reasons aren't married now, Haven't talked about it?",5,categorical
m1b10b11,"Reasons aren't married now, Other specify?",7,categorical
m1b11a,"In last mo, did you and BF visited with friends?",5,categorical
m1b11b,"In last mo, did you and BF went out for entertainment(movie,sport)?",5,categorical
m1b11c,"In last mo, did you and BF eat out in a restaurant?",5,categorical
m1b11d,"In last mo, did you and BF did help each other to solve a problem?",6,categorical
m1b12a,"In last mo, how often did you and BF disagree about money?",7,categorical
m1b12b,"In last mo, how often did you and BF disagree about spending time?",7,categorical
m1b12c,"In last mo, how often did you and BF disagree about sex?",7,categorical
m1b12d,"In last mo, how often did you and BF disagree about the pregnancy?",7,categorical
m1b12e,"In last mo, how often did you and BF disagree about drug/alc use?",8,categorical
m1b12f,"In last mo, how often did you and BF disagree about being faithful?",8,categorical
m1b13a,How often is BF fair and willing to compromise?,1,categorical
m1b13b,How often does BF hit or slaps you when he is angry?,1,categorical
m1b13c,How often does BF expresses affection or love for you?,1,categorical
m1b13d,"How often, BF insults or criticizes you or your ideas?",1,categorical
m1b13e,"How often, BF encourages you or help you do things that are imprt to you?",1,categorical
m1b14,What are the chances that you will marry BF in the future?,10,categorical
m1b14a,What do you think are the chances that you will ever marry someone?,10,categorical
m1b15a,"How life diff if married BF, financial security?",10,categorical
m1b15b,"How life diff if married BF, overall happiness?",10,categorical
m1b15c,"How life diff if married BF, freedom?",10,categorical
m1b15d,"How life diff if married BF, control over money?",10,categorical
m1b15e,"How life diff if married BF, sex life?",10,categorical
m1b15f,"How life diff if married BF, relations w/parents?",11,categorical
m1b16,During preg did BF give money to buy things for baby/babies?,7,categorical
m1b17,"Did BF help you in any other way (transportation, etc)?",6,categorical
m1b18,Do you want BF involved in raising your child (children)?,7,categorical
m1b19,Does BF want to be involved in raising your child?,8,categorical
m1b20,Int chk: Are mother and father living together?,7,categorical
m1b21,Has BF told you that he will provide support for the baby?,7,categorical
m1b21a,How much money per mo did BF say he would provide?,38,continuous
