,Count in LIME exp.,Wave,Respondent,Umbrella topic(s),Topic(s)
cf1edu,1,1,Father,Education and school,educational attainment/achievement
cf1kids,1,1,Father,Home and housing,household composition
cf1povca,1,1,Father,Finances,household income/poverty
cf2hhimpb,1,2,Father,Finances,household income/poverty
cf2povca,1,2,Father,Finances,household income/poverty
cf3cogsc,1,3,Father,Cognitive and behavioral development,cognitive skills
cf3finjail,1,3,Father,Legal system,criminal justice involvement
cf3povcob,1,3,Father,Finances,household income/poverty
cf4b_age,1,4,Father,Demographics & Paradata and weights,age & paradata
cf5marm,1,5,Father,Parental relationships,parental relationship status
ch3pvbasal_m,1,3,Home (Survey),Cognitive and behavioral development,cognitive skills
ch3pvnbasal_m,1,3,Home (Survey),Cognitive and behavioral development,cognitive skills
ch3pvnceil_m,1,3,Home (Survey),Cognitive and behavioral development,cognitive skills
ch4ppvtage,1,4,Home (Survey),Demographics & Paradata and weights,age & paradata
ch4pvceil,1,4,Home (Survey),Cognitive and behavioral development,cognitive skills
ch4pvceilr,1,4,Home (Survey),Cognitive and behavioral development & Paradata and weights,cognitive skills & paradata
ch5dsraw,1,5,Home (Survey),Cognitive and behavioral development,cognitive skills
ch5dsss,1,5,Home (Survey),Cognitive and behavioral development,cognitive skills
ch5ppvtpr,1,5,Home (Survey),Cognitive and behavioral development,cognitive skills
ch5ppvtraw,1,5,Home (Survey),Cognitive and behavioral development,cognitive skills
ch5ppvtss,1,5,Home (Survey),Cognitive and behavioral development,cognitive skills
cm1inpov,1,1,Mother,Finances,household income/poverty
cm1lenhr,1,1,Mother,Paradata and weights,paradata
cm2cfinjail,1,2,Mother,Legal system,criminal justice involvement
cm3b_age,1,3,Mother,Demographics & Paradata and weights,age & paradata
cm3kids,1,3,Mother,Home and housing,household composition
cm4age,1,4,Mother,Demographics & Paradata and weights,age & paradata
cm4b_age,2,4,Mother,Demographics & Paradata and weights,age & paradata
cm5finjail,1,5,Mother,Legal system,criminal justice involvement
f1a6a,1,1,Father,Health and health behavior,fertility history
f1b10,1,1,Father,Parental relationships,parental relationship quality
f1d1c,1,1,Father,Attitudes and expectations,attitudes/expectations/happiness
f1e1b1,1,1,Father,Home and housing,household composition
f1e1b3,1,1,Father,Home and housing,household composition
f1e3,1,1,Father,Family and social support,parents' family background
f1e4a,1,1,Father,Family and social support,parents' family background
f1f6,2,1,Father,Community,community participation
f1f7,1,1,Father,Demographics,religion
f1g9a,1,1,Father,Health and health behavior,mental health
f1g9g,1,1,Father,Health and health behavior,mental health
f1g9l,1,1,Father,Health and health behavior,mental health
f1i1,2,1,Father,Education and school,educational attainment/achievement
f1j6,3,1,Father,Employment,employment - traditional work
