num_hidden_layers,hidden_layer_size,activation_function,score
0,0,linear,-2.584747
0,0,relu,-7.227311
0,0,sigmoid,-3.625803
0,0,tanh,-3.625803
1,64,linear,-0.289578
1,64,relu,-0.497862
1,64,sigmoid,-0.297948
1,64,tanh,-0.310448
1,128,linear,-0.279975
1,128,relu,-0.259806
1,128,sigmoid,-0.277095
1,128,tanh,-0.309183
1,256,linear,-0.542272
1,256,relu,-0.324746
1,256,sigmoid,-0.255906
1,256,tanh,-0.304221
2,64,linear,-0.275565
2,64,relu,-0.350884
2,64,sigmoid,-0.305775
2,64,tanh,-0.309397
2,128,linear,-0.269394
2,128,relu,-0.565389
2,128,sigmoid,-0.286249
2,128,tanh,-0.308745
2,256,linear,-1.954614
2,256,relu,-0.851779
2,256,sigmoid,-0.265914
2,256,tanh,-0.378844
3,64,linear,-0.301218
3,64,relu,-0.314987
3,64,sigmoid,-0.291307
3,64,tanh,-0.310032
3,128,linear,-0.259853
3,128,relu,-0.329742
3,128,sigmoid,-0.281479
3,128,tanh,-0.316033
3,256,linear,-27.577955
3,256,relu,-0.519604
3,256,sigmoid,-0.266296
3,256,tanh,-0.339618
